Path,Title,Code,Sex,Hatched,Remark,Price,Status
S__11640864.jpg,test prcsOrange Dream Pinstripe Yellowbelly Cryptic Het Desert Ghost,23ODPINYBCThDGM1,male,15/4/2023,,"95,000",sold
S__11640865.jpg,Dragonfly Yellowbelly Het Desert Ghost 66% Het Cryptic,23DFYBhDGhCTF1,female,15/4/2023,,"39,000",available
S__11640866.jpg,Fire Yellowbelly Piebald,23FYBPIEDF1,male,3/5/2023,,"39,000",available
S__11640867.jpg,Orange Dream Fire Piebald,23ODFPIEDM1,female,3/5/2023,,"55,000",sold
S__11640868.jpg,Orange Dream Pinstripe Yellowbelly Cryptic Het Desert Ghost,23ODPINYBCThDGM1,male,15/4/2023,,"95,000",available
S__11640869.jpg,Dragonfly Yellowbelly Het Desert Ghost 66% Het Cryptic,23DFYBhDGhCTF1,female,15/4/2023,,"39,000",sold
S__11640873.jpg,Fire Yellowbelly Piebald,23FYBPIEDF1,male,3/5/2023,,"39,000",available
90190-removebg-preview.png,Testkrub,test,male,11/2/2024,,10,available
